,Unnamed: 0,I(text -> summary),marg_ent,cond_ent,I(summary -> text),marg_ent_rev,cond_ent_rev,mrm8488_distilroberta-finetuned-financial-news-sentiment-analysis/l2,mrm8488_distilroberta-finetuned-financial-news-sentiment-analysis/l1,mrm8488_distilroberta-finetuned-financial-news-sentiment-analysis/dot,mrm8488_distilroberta-finetuned-financial-news-sentiment-analysis/kl
0,google_pegasus-arxiv_rotten_tomatoes_beam_sampling_longer_2023-11-01-20-43-53,59.04896812973024,52.51040204157943,-6.538566088150811,58.602991297912645,67.50847541575548,8.90548411784284,29.61237871520389,6.124852534869313,33.89167029813304,24.565609464645387
0,sshleifer_distill-pegasus-cnn-16-4_peer_read_beam_sampling_longer_2023-11-01-19-24-59,65.09420260274811,37.36066009134892,-27.7335425113992,49.05085074048524,20.5093827860492,-28.54146795443604,32.891634453618074,6.751965780287343,24.205013677942645,22.60628588323564
0,google_pegasus-arxiv_peer_read_beam_sampling_longer_2023-11-01-19-34-05,58.68110328697648,31.40445982006911,-27.27664346690737,48.64323108918076,20.49038450175304,-28.152846587427725,37.21988569762748,7.364519029381808,23.014298408913685,23.48718875861678
0,google_pegasus-large_peer_read_beam_sampling_very_short_2023-11-01-19-23-13,153.7218402500911,131.26753434380825,-22.454305906282848,45.85921776447821,20.5251027545125,-25.33411500996571,63.03617565670828,10.201648510122151,16.047200522255096,29.42146071716915
0,google_pegasus-large_rotten_tomatoes_top_p_sampling_2023-10-31-01-50-59,100.07316838607792,76.39765793757554,-23.67551044850237,92.66217076721196,67.53430039744494,-25.127870369767024,2.992862830450715,0.8432644399727695,39.32043353230655,17.671415744447707
0,sshleifer_distill-pegasus-cnn-16-4_rotten_tomatoes_top_p_sampling_2023-10-31-01-37-26,97.45058784945016,89.26369580609915,-8.186892043351007,83.12549945678715,67.45791191172717,-15.667587545059993,10.140996620415493,2.8815323456740005,37.585515072746574,19.37328814620972
0,google_pegasus-arxiv_rotten_tomatoes_top_p_sampling_2023-10-31-02-27-53,62.60796522693636,56.855144918204495,-5.752820308731867,57.09294678421025,67.5216668899071,10.428720105696843,29.266196751626037,6.012026362025738,34.71686262535751,24.847628320503237
0,sshleifer_distill-pegasus-cnn-16-4_rotten_tomatoes_top_p_sampling_2023-10-30-23-46-01,95.70281983678343,89.31226566879866,-6.390554167984796,83.0168735603333,67.51783931727526,-15.499034243058038,10.188462030147978,2.894168850471452,37.60332013512701,19.396608009958268
0,google_pegasus-multi_news_peer_read_beam_sampling_longer_2023-11-01-19-34-10,55.41273785045752,27.49164720154518,-27.92109064891234,48.50781847285933,20.544863100998068,-27.96295537186126,32.25281207815876,7.089655171184365,18.7524327554834,19.46074676863644
0,google_pegasus-large_peer_read_beam_sampling_longer_2023-11-01-19-32-10,58.304355959644376,30.90902291194213,-27.39533304770224,48.7706158279279,20.473771889463283,-28.29684393846461,33.11461154787093,6.891388109216996,23.12600823168725,22.093667473632625
0,sshleifer_distill-pegasus-cnn-16-4_peer_read_beam_sampling_very_short_2023-11-01-19-22-47,156.30167969403283,125.82782120344308,-30.473858490589755,39.82435511784452,20.511775457500125,-19.31257966034439,64.2357557555635,10.291837687521536,15.875080713110233,29.795086317033213
0,facebook_bart-large-cnn_rotten_tomatoes_top_p_sampling_2023-10-30-23-40-06,58.4371340423584,38.47040394358747,-19.966730098770928,83.75974044570927,67.53541779017564,-16.224322655533623,6.531867445940429,2.576823320300132,37.48134167548865,17.899159930419923
0,google_pegasus-large_rotten_tomatoes_beam_sampling_longer_2023-11-01-19-49-18,99.86316603469852,76.37610743250963,-23.4870586021889,92.91543882217412,67.49523964991685,-25.420199172257256,2.992862830450715,0.8432644399727695,39.32043353230655,17.671415744447707
0,google_pegasus-large_peer_read_top_p_sampling_2023-10-31-01-31-30,58.5056059111149,31.196034537366213,-27.30957137374868,48.773480336600485,20.480522919034907,-28.29295741756557,34.064737463491255,7.024690529403337,23.129513446234785,22.44943883528403
0,sshleifer_distill-pegasus-cnn-16-4_peer_read_top_p_sampling_2023-10-31-01-25-21,63.75346193459421,36.07419311603475,-27.67926881855946,49.24577263415042,20.530932414537347,-28.71484021961308,32.11683942411688,6.69761594535743,24.522189237109018,22.415863210345627
0,google_pegasus-arxiv_peer_read_top_p_sampling_2023-10-31-01-31-58,60.25782975013102,33.14928856395999,-27.108541186171035,47.95873562407421,21.06776386492677,-26.89097175914743,39.82836635182565,7.64792202889737,22.82500505451033,24.376444399247475
0,sshleifer_distill-pegasus-cnn-16-4_rotten_tomatoes_beam_sampling_very_short_2023-11-01-19-34-55,144.22995805130006,163.9735066375267,19.74354858622663,64.87235678787236,67.4596580718529,2.587301283980536,27.29131903900393,5.6670013265639545,36.18700628997088,24.810713201236723
0,google_pegasus-large_rotten_tomatoes_beam_sampling_very_short_2023-11-01-19-37-35,127.9014654464722,151.22052452006454,23.31905907359236,60.35762812042241,67.4709484900963,7.113320369673894,25.826810080287057,5.464517431031912,35.86706693561077,24.20338589792252
0,sshleifer_distill-pegasus-cnn-16-4_rotten_tomatoes_beam_sampling_longer_2023-11-01-19-43-21,,90.66002163527128,,81.36080705795293,67.48067634883043,-13.880130709122492,11.618458910994445,3.163476772435382,37.38413552884832,19.792508370780943
0,google_pegasus-multi_news_rotten_tomatoes_beam_sampling_longer_2023-11-01-20-42-06,41.24056659088134,30.923283678389712,-10.317282912491631,63.53901185684209,67.48225600733873,3.943244150496649,26.914572348518217,6.122387538078427,26.30967121596485,19.725833971214293
